,radii,0.524,0.698,0.873,1.047,1.222,1.396,1.571
82,0.31986588142376987,0.2728712646841639,0.26880719047634727,0.2562794353939562,0.23852780611076452,0.22058178294810984,0.2072646964428101,0.20316151905557034
83,0.32376668485576704,0.27821712236625046,0.27377795785373604,0.2601611349935009,0.24217469870263536,0.22316644949037384,0.2091609556911382,0.20530009178954123
84,0.3276674882877642,0.28350703000430294,0.2787487252311249,0.26404283459304556,0.24582159129450623,0.2257560964639942,0.21105721493946633,0.2074386645235121
85,0.33156829171976143,0.2887969376423554,0.28371949260851326,0.2683533763357103,0.24946848388637702,0.22836413226600866,0.21343146636175492,0.20957723725748295
86,0.3354690951517586,0.29408684528040796,0.2886902599859021,0.2734066383117678,0.2531153764782479,0.23097216806802287,0.2158875726009825,0.2117158099914538
87,0.3393698985837558,0.29937675291846044,0.2936644620606033,0.27845990028782525,0.2567622690701187,0.2335802038700373,0.21834367884021016,0.21385438272542479
88,0.343270702015753,0.304666660556513,0.2989580563576856,0.2835131622638823,0.2604234646391034,0.23655782166636646,0.22079978507943782,0.21599295545939567
89,0.3471715054477502,0.3099565681945654,0.3042516506547683,0.2885664242399398,0.2640950491713035,0.23995767923525185,0.22325589131866547,0.21813152819336656
90,0.3510723088797474,0.31524647583261795,0.3096875474647035,0.29361968621599727,0.26776663370350356,0.2433575368041373,0.2257119975578931,0.22009933674248808
91,0.3549731123117446,0.32104648452467643,0.3163868670483684,0.29876501815221157,0.2714382182357036,0.24675739437302247,0.2283910996126956,0.22194499179732938
92,0.3588739157437418,0.32767052204941655,0.32308618663203326,0.3041391804445025,0.2751098027679038,0.25015725194190785,0.23118476423903064,0.22379064685217065
93,0.36277471917573895,0.33429455957415605,0.3297855062156977,0.30951334273679343,0.2787813873001037,0.25355710951079335,0.23397842886536574,0.22563630190701195
94,0.36667552260773617,0.34091859709889627,0.3364848257993625,0.31488750502908414,0.2826556299764311,0.2569569670796785,0.23677209349170086,0.22748195696185333
95,0.37057632603973334,0.3482010440967447,0.3431841453830274,0.3202616673213752,0.28764146080128916,0.26035682464856386,0.239565758118036,0.2293276120166946
96,0.37447712947173056,0.3559346059606576,0.34988346496669176,0.325635829613666,0.2926272916261476,0.26375668221744936,0.24231201442540215,0.23117326707153588
97,0.37837793290372773,0.3636681678245697,0.35658278455035664,0.3310099919059568,0.2976131224510057,0.2671565397863347,0.24468839738970824,0.23358769307087793
98,0.38227873633572496,0.37140172968848256,0.36328210413402157,0.33638415419824774,0.3029816568992435,0.27055639735521997,0.2470647803540143,0.23611955730028208
99,0.3861795397677221,0.37913529155239506,0.36998142371768583,0.34175831649053867,0.30867711776946544,0.27395625492410536,0.2494411633183204,0.23856929526321244
100,0.39008034319971935,0.3868688534163075,0.3766807433013507,0.34765667150077456,0.3143725786396873,0.2773561124929907,0.25181754628262654,0.24087844633596187
101,0.3939811466317165,0.39460241528022005,0.38338006288501547,0.35423416594869694,0.31986123325620713,0.28062157957243405,0.25419392924693257,0.24318759740871126
102,0.3978819500637137,0.4023359771441326,0.3900187341834131,0.3608116603966188,0.3249317266247147,0.28374161017894955,0.25657031221123866,0.2454967484814607
103,0.4017827534957109,0.4100695390080453,0.39722032105152405,0.3673915776496618,0.33000221999322227,0.2868616407854654,0.25894669517554475,0.24780589955421012
104,0.4056835569277081,0.41780310087195777,0.4056532744898291,0.3739834645864961,0.33507271336172983,0.28998167139198106,0.2613230781398508,0.2501150506269595
